,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
61,no-support@fall-chance=0.05$robot-persuasion-factor=1000_1,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-792368376,20,0,800,10,500,0.05,1000,2000,8,False,8967,1019,58.44,[],[],0,True
62,no-support@fall-chance=0.05$robot-persuasion-factor=1000_2,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-20676663,20,0,800,10,500,0.05,1000,2000,8,False,8967,1035,60.35,[],[],0,True
63,no-support@fall-chance=0.05$robot-persuasion-factor=1000_3,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-66166063,20,0,800,10,500,0.05,1000,2000,8,False,8967,512,14.2,[],[],0,True
64,no-support@fall-chance=0.05$robot-persuasion-factor=1000_4,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,429628137,20,0,800,10,500,0.05,1000,2000,8,False,8967,570,14.63,[],[],0,True
65,no-support@fall-chance=0.05$robot-persuasion-factor=1000_5,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-799265193,20,0,800,10,500,0.05,1000,2000,8,False,8967,541,14.51,[],[],0,True
66,no-support@fall-chance=0.05$robot-persuasion-factor=1000_6,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,1783571257,20,0,800,10,500,0.05,1000,2000,8,False,8967,378,12.13,[],[],0,True
67,no-support@fall-chance=0.05$robot-persuasion-factor=1000_7,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-1506790944,20,0,800,10,500,0.05,1000,2000,8,False,8967,254,11.73,[],[],0,True
68,no-support@fall-chance=0.05$robot-persuasion-factor=1000_8,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-809848072,20,0,800,10,500,0.05,1000,2000,8,False,8967,310,12.37,[],[],0,True
69,no-support@fall-chance=0.05$robot-persuasion-factor=1000_9,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,-614455004,20,0,800,10,500,0.05,1000,2000,8,False,8967,372,12.12,[],[],0,True
70,no-support@fall-chance=0.05$robot-persuasion-factor=1000_10,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,1828517127,20,0,800,10,500,0.05,1000,2000,8,False,8967,555,13.64,[],[],0,True
71,no-support@fall-chance=0.05$robot-persuasion-factor=1000_11,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,1656258876,20,0,800,10,500,0.05,1000,2000,8,False,8967,524,13.8,[],[],0,True
72,no-support@fall-chance=0.05$robot-persuasion-factor=1000_12,no-support@fall-chance=0.05$robot-persuasion-factor=1000,,1398172709,20,0,800,10,500,0.05,1000,2000,8,False,8967,552,14.06,[],[],0,True
