,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,OptimalStrategy,RandomStrategy
count,20.0,20.0,20.0,20.0
mean,412.23,340.52,348.9075,356.72999999999996
std,26.08788612807828,18.28791950988412,22.07387432309016,20.12075813419408
min,367.45,301.9,311.95,314.775
25%,397.4,331.47499999999997,330.425,343.78125
50%,413.6625,342.04999999999995,344.275,354.275
75%,421.56875,349.775,365.25,370.50625
max,476.75,376.0,383.55,403.8
