,adaptive-optimal@num-of-robots=0$num-of-staff=0,adaptive-optimal@num-of-robots=0$num-of-staff=1,adaptive-optimal@num-of-robots=0$num-of-staff=2,adaptive-optimal@num-of-robots=0$num-of-staff=3,adaptive-optimal@num-of-robots=0$num-of-staff=4,adaptive-optimal@num-of-robots=0$num-of-staff=5,adaptive-optimal@num-of-robots=0$num-of-staff=6,adaptive-optimal@num-of-robots=0$num-of-staff=7,adaptive-optimal@num-of-robots=0$num-of-staff=8,adaptive-optimal@num-of-robots=0$num-of-staff=9,adaptive-optimal@num-of-robots=1$num-of-staff=0,adaptive-optimal@num-of-robots=1$num-of-staff=1,adaptive-optimal@num-of-robots=1$num-of-staff=2,adaptive-optimal@num-of-robots=1$num-of-staff=3,adaptive-optimal@num-of-robots=1$num-of-staff=4,adaptive-optimal@num-of-robots=1$num-of-staff=5,adaptive-optimal@num-of-robots=1$num-of-staff=6,adaptive-optimal@num-of-robots=1$num-of-staff=7,adaptive-optimal@num-of-robots=1$num-of-staff=8,adaptive-optimal@num-of-robots=1$num-of-staff=9,adaptive-optimal@num-of-robots=2$num-of-staff=0,adaptive-optimal@num-of-robots=2$num-of-staff=1,adaptive-optimal@num-of-robots=2$num-of-staff=2,adaptive-optimal@num-of-robots=2$num-of-staff=3,adaptive-optimal@num-of-robots=2$num-of-staff=4,adaptive-optimal@num-of-robots=2$num-of-staff=5,adaptive-optimal@num-of-robots=2$num-of-staff=6,adaptive-optimal@num-of-robots=2$num-of-staff=7,adaptive-optimal@num-of-robots=2$num-of-staff=8,adaptive-optimal@num-of-robots=2$num-of-staff=9,adaptive-optimal@num-of-robots=3$num-of-staff=0,adaptive-optimal@num-of-robots=3$num-of-staff=1,adaptive-optimal@num-of-robots=3$num-of-staff=2,adaptive-optimal@num-of-robots=3$num-of-staff=3,adaptive-optimal@num-of-robots=3$num-of-staff=4,adaptive-optimal@num-of-robots=3$num-of-staff=5,adaptive-optimal@num-of-robots=3$num-of-staff=6,adaptive-optimal@num-of-robots=3$num-of-staff=7,adaptive-optimal@num-of-robots=3$num-of-staff=8,adaptive-optimal@num-of-robots=3$num-of-staff=9,adaptive-optimal@num-of-robots=4$num-of-staff=0,adaptive-optimal@num-of-robots=4$num-of-staff=1,adaptive-optimal@num-of-robots=4$num-of-staff=2,adaptive-optimal@num-of-robots=4$num-of-staff=3,adaptive-optimal@num-of-robots=4$num-of-staff=4,adaptive-optimal@num-of-robots=4$num-of-staff=5,adaptive-optimal@num-of-robots=4$num-of-staff=6,adaptive-optimal@num-of-robots=4$num-of-staff=7,adaptive-optimal@num-of-robots=4$num-of-staff=8,adaptive-optimal@num-of-robots=4$num-of-staff=9,adaptive-optimal@num-of-robots=5$num-of-staff=0,adaptive-optimal@num-of-robots=5$num-of-staff=1,adaptive-optimal@num-of-robots=5$num-of-staff=2,adaptive-optimal@num-of-robots=5$num-of-staff=3,adaptive-optimal@num-of-robots=5$num-of-staff=4,adaptive-optimal@num-of-robots=5$num-of-staff=5,adaptive-optimal@num-of-robots=5$num-of-staff=6,adaptive-optimal@num-of-robots=5$num-of-staff=7,adaptive-optimal@num-of-robots=5$num-of-staff=8,adaptive-optimal@num-of-robots=5$num-of-staff=9,adaptive-optimal@num-of-robots=6$num-of-staff=0,adaptive-optimal@num-of-robots=6$num-of-staff=1,adaptive-optimal@num-of-robots=6$num-of-staff=2,adaptive-optimal@num-of-robots=6$num-of-staff=3,adaptive-optimal@num-of-robots=6$num-of-staff=4,adaptive-optimal@num-of-robots=6$num-of-staff=5,adaptive-optimal@num-of-robots=6$num-of-staff=6,adaptive-optimal@num-of-robots=6$num-of-staff=7,adaptive-optimal@num-of-robots=6$num-of-staff=8,adaptive-optimal@num-of-robots=6$num-of-staff=9,adaptive-optimal@num-of-robots=7$num-of-staff=0,adaptive-optimal@num-of-robots=7$num-of-staff=1,adaptive-optimal@num-of-robots=7$num-of-staff=2,adaptive-optimal@num-of-robots=7$num-of-staff=3,adaptive-optimal@num-of-robots=7$num-of-staff=4,adaptive-optimal@num-of-robots=7$num-of-staff=5,adaptive-optimal@num-of-robots=7$num-of-staff=6,adaptive-optimal@num-of-robots=7$num-of-staff=7,adaptive-optimal@num-of-robots=7$num-of-staff=8,adaptive-optimal@num-of-robots=7$num-of-staff=9,adaptive-optimal@num-of-robots=8$num-of-staff=0,adaptive-optimal@num-of-robots=8$num-of-staff=1,adaptive-optimal@num-of-robots=8$num-of-staff=2,adaptive-optimal@num-of-robots=8$num-of-staff=3,adaptive-optimal@num-of-robots=8$num-of-staff=4,adaptive-optimal@num-of-robots=8$num-of-staff=5,adaptive-optimal@num-of-robots=8$num-of-staff=6,adaptive-optimal@num-of-robots=8$num-of-staff=7,adaptive-optimal@num-of-robots=8$num-of-staff=8,adaptive-optimal@num-of-robots=8$num-of-staff=9,adaptive-optimal@num-of-robots=9$num-of-staff=0,adaptive-optimal@num-of-robots=9$num-of-staff=1,adaptive-optimal@num-of-robots=9$num-of-staff=2,adaptive-optimal@num-of-robots=9$num-of-staff=3,adaptive-optimal@num-of-robots=9$num-of-staff=4,adaptive-optimal@num-of-robots=9$num-of-staff=5,adaptive-optimal@num-of-robots=9$num-of-staff=6,adaptive-optimal@num-of-robots=9$num-of-staff=7,adaptive-optimal@num-of-robots=9$num-of-staff=8,adaptive-optimal@num-of-robots=9$num-of-staff=9
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,831.8,748.6,693.6,687.8,679.6,779.2,542.8,865.6,767.2,960.0,828.6,312.8,429.4,378.4,350.8,333.2,362.8,430.6,394.4,298.2,645.2,385.0,353.8,462.6,351.6,576.2,569.2,388.6,456.0,442.4,753.6,390.8,396.4,517.6,456.2,426.0,485.6,436.6,517.0,461.2,663.8,316.0,395.8,510.8,517.0,521.6,473.0,499.4,598.8,411.2,569.8,337.2,493.0,424.4,495.0,572.6,507.0,472.8,531.0,510.2,678.8,328.4,490.6,548.8,473.4,507.6,474.4,623.6,552.2,410.8,749.2,298.8,500.6,468.0,535.2,479.0,430.4,439.4,533.2,435.4,561.6,390.8,401.4,463.0,450.4,468.8,400.8,474.6,458.6,433.4,660.0,444.8,417.8,428.6,454.8,400.2,426.4,496.0,493.0,460.2
std,260.8307880599988,247.8876761761262,191.20747893322584,228.52067740141155,207.97427725562602,238.5187623647247,27.398905087612533,249.6753892557294,242.47412233061078,421.1840452818696,255.18483497261354,54.85617558671038,106.89855003693923,154.519578047573,135.69708913606067,52.265667507456556,77.46418527293758,129.06122578063483,117.38313337102568,23.94159560263267,218.45983612554505,112.11824115637918,68.72917866525104,134.09996271438706,28.762823227214675,171.99767440288255,52.24653098531998,112.0638211020845,146.81110312234563,110.70365847613166,266.25326289080476,137.8448403096757,181.43125419838776,103.99903845709343,113.330048972018,127.700822236977,132.6152329108538,119.4039362835246,81.16033513977132,154.86671688907208,204.97975509791203,48.68264577855234,133.52041042477364,71.64286426434946,81.88406438373708,70.56061224224177,119.54706186268234,125.82050707257541,39.594191493197584,133.31053971835834,52.973578319762396,39.48037487157385,94.7866024288243,131.83626208293376,129.38701635017324,42.79369112380936,77.60154637634484,101.97891939023476,127.15934885017303,104.30580041397506,190.52086499908614,76.6994132963219,100.8032737563617,76.80299473327847,119.15452152562234,99.98649908862696,96.4898958440727,173.68016582212258,40.86808045406586,144.3561567789888,248.6256221711672,30.49918031685442,131.31945781185667,126.64122551523259,160.120891828643,119.34613525372323,144.98551651803018,109.71918701849737,74.2980484265906,110.35986589335816,74.11342658385186,126.55907711420781,139.91890508433806,144.82403115505383,134.59494789924324,140.8463702052701,135.37244919111126,186.12173435684505,129.24124728584138,152.62470311191436,207.73420517574857,110.95134068590609,114.11266362678596,126.2509405905556,143.75047826007398,143.46846343360622,118.19179328532078,135.6281681657612,132.50849029401851,130.79449529701165
min,519.0,528.0,538.0,561.0,552.0,521.0,512.0,521.0,544.0,529.0,530.0,257.0,313.0,221.0,217.0,260.0,260.0,267.0,315.0,270.0,524.0,267.0,259.0,310.0,318.0,322.0,535.0,267.0,273.0,307.0,535.0,294.0,259.0,375.0,321.0,283.0,298.0,315.0,373.0,329.0,548.0,269.0,268.0,384.0,374.0,396.0,274.0,279.0,562.0,311.0,521.0,283.0,381.0,312.0,264.0,529.0,371.0,320.0,320.0,327.0,567.0,268.0,322.0,438.0,318.0,331.0,344.0,532.0,528.0,321.0,524.0,267.0,322.0,290.0,272.0,317.0,324.0,317.0,403.0,294.0,524.0,253.0,261.0,275.0,296.0,266.0,270.0,259.0,265.0,266.0,519.0,317.0,308.0,265.0,269.0,270.0,260.0,313.0,257.0,340.0
25%,575.0,564.0,550.0,565.0,555.0,569.0,524.0,681.0,557.0,555.0,569.0,270.0,373.0,264.0,266.0,305.0,321.0,319.0,318.0,276.0,544.0,296.0,310.0,322.0,325.0,530.0,538.0,360.0,320.0,361.0,567.0,294.0,266.0,464.0,370.0,346.0,408.0,368.0,536.0,371.0,555.0,290.0,269.0,533.0,526.0,542.0,447.0,512.0,563.0,313.0,532.0,311.0,398.0,333.0,542.0,559.0,529.0,417.0,527.0,525.0,581.0,274.0,475.0,524.0,372.0,533.0,398.0,539.0,534.0,322.0,559.0,278.0,434.0,377.0,556.0,385.0,328.0,347.0,543.0,361.0,526.0,317.0,315.0,339.0,311.0,376.0,315.0,291.0,386.0,267.0,551.0,377.0,327.0,332.0,330.0,300.0,386.0,401.0,538.0,379.0
50%,1016.0,615.0,661.0,570.0,564.0,765.0,543.0,1019.0,683.0,1018.0,1011.0,295.0,376.0,321.0,319.0,338.0,364.0,485.0,325.0,305.0,559.0,381.0,376.0,550.0,360.0,560.0,556.0,367.0,548.0,440.0,578.0,320.0,270.0,537.0,452.0,380.0,532.0,370.0,556.0,374.0,569.0,311.0,375.0,533.0,548.0,552.0,546.0,562.0,588.0,320.0,554.0,348.0,555.0,341.0,548.0,561.0,529.0,523.0,547.0,553.0,599.0,276.0,540.0,557.0,544.0,544.0,535.0,541.0,536.0,338.0,626.0,291.0,536.0,551.0,567.0,561.0,332.0,433.0,562.0,436.0,530.0,333.0,328.0,549.0,539.0,551.0,325.0,550.0,531.0,530.0,554.0,412.0,374.0,458.0,543.0,319.0,405.0,544.0,549.0,394.0
75%,1016.0,1013.0,709.0,652.0,690.0,1015.0,552.0,1019.0,1018.0,1185.0,1012.0,371.0,526.0,534.0,386.0,375.0,408.0,535.0,427.0,318.0,564.0,435.0,393.0,560.0,372.0,710.0,556.0,376.0,569.0,548.0,1017.0,430.0,561.0,561.0,559.0,554.0,556.0,557.0,556.0,530.0,620.0,313.0,517.0,546.0,565.0,558.0,547.0,564.0,636.0,532.0,590.0,366.0,563.0,555.0,559.0,570.0,539.0,546.0,624.0,570.0,630.0,402.0,543.0,577.0,562.0,554.0,543.0,573.0,538.0,413.0,1010.0,315.0,537.0,561.0,571.0,562.0,532.0,542.0,577.0,539.0,534.0,524.0,533.0,565.0,541.0,569.0,534.0,625.0,551.0,551.0,656.0,535.0,539.0,535.0,561.0,546.0,535.0,577.0,549.0,534.0
max,1033.0,1023.0,1010.0,1091.0,1037.0,1026.0,583.0,1088.0,1034.0,1513.0,1021.0,371.0,559.0,552.0,566.0,388.0,461.0,547.0,587.0,322.0,1035.0,546.0,431.0,571.0,383.0,759.0,661.0,573.0,570.0,556.0,1071.0,616.0,626.0,651.0,579.0,567.0,634.0,573.0,564.0,702.0,1027.0,397.0,550.0,558.0,572.0,560.0,551.0,580.0,645.0,580.0,652.0,378.0,568.0,581.0,562.0,644.0,567.0,558.0,637.0,576.0,1017.0,422.0,573.0,648.0,571.0,576.0,552.0,933.0,625.0,660.0,1027.0,343.0,674.0,561.0,710.0,570.0,636.0,558.0,581.0,547.0,694.0,527.0,570.0,587.0,565.0,582.0,560.0,648.0,560.0,553.0,1020.0,583.0,541.0,553.0,571.0,566.0,546.0,645.0,572.0,654.0
