sim_index,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,OptimalStrategy,RandomStrategy
0,522.39,349.07,364.26,394.3
1,350.45,387.21,379.95,392.31
2,495.42,361.64,374.06,379.18
3,585.15,367.6,360.26,386.49
4,561.3684210526316,347.4,355.44,392.59
