,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,OptimalStrategy,RandomStrategy
count,5.0,5.0,5.0,5.0
mean,502.95568421052633,362.584,366.794,388.974
std,92.00600015315754,16.168436226178464,10.048665583051314,6.218185426633717
min,350.45,347.4,355.44,379.18
25%,495.42,349.07,360.26,386.49
50%,522.39,361.64,364.26,392.31
75%,561.3684210526316,367.6,374.06,392.59
max,585.15,387.21,379.95,394.3
