,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,OptimalStrategy,RandomStrategy
count,30.0,30.0,30.0,30.0
mean,366.79015151515154,372.0106060606061,375.7861111111111,372.3333333333333
std,38.462574297209336,27.788089710663787,31.852184068740318,25.791280195050742
min,295.8333333333333,314.25,314.25,317.6666666666667
25%,339.7083333333333,351.91666666666663,352.10416666666663,353.1666666666667
50%,370.625,372.25,376.29166666666663,373.4166666666667
75%,389.2291666666667,385.2083333333333,395.8958333333333,394.2708333333333
max,465.9166666666667,432.4166666666667,432.4166666666667,412.9166666666667
