,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,HelpMatrixStrategy
count,30.0,30.0,30.0
mean,499.750634920635,382.3933333333334,374.03111111111116
std,61.290350195659904,36.174156648018794,46.611875004586196
min,332.2,327.6,319.6666666666667
25%,473.6333333333333,359.73333333333335,342.35
50%,491.7,374.3666666666667,366.43333333333334
75%,546.5035714285714,404.0,384.8833333333333
max,652.3333333333334,471.8,540.1333333333333
